epoch,accuracy,loss,val_accuracy,val_loss
0,0.734000027179718,0.8009874820709229,0.8575000166893005,0.3023044168949127
1,0.8500000238418579,0.34691014885902405,0.875,0.30661383271217346
2,0.8740000128746033,0.2944262623786926,0.8899999856948853,0.28383076190948486
3,0.8930000066757202,0.2690507769584656,0.90625,0.2615107297897339
4,0.9160000085830688,0.18833692371845245,0.8974999785423279,0.28616392612457275
5,0.9380000233650208,0.1774180382490158,0.9024999737739563,0.2755083441734314
6,0.9340000152587891,0.15385569632053375,0.8675000071525574,0.3810313940048218
7,0.9449999928474426,0.11533691734075546,0.8675000071525574,0.511141836643219
8,0.9539999961853027,0.12169890850782394,0.8949999809265137,0.3411024510860443
9,0.9729999899864197,0.09510878473520279,0.8949999809265137,0.339616596698761
